paper_id,paper_title,norag_claims_extracted,norag_claims_validated,norag_claims_corrected,rag_claims_extracted,rag_claims_validated,rag_claims_corrected,llm_norag_hallucination_rate,llm_norag_grounding_score,llm_norag_claim_density,llm_norag_avg_confidence,llm_norag_supported,llm_norag_partially_supported,llm_norag_not_supported,llm_norag_contradicted,llm_rag_hallucination_rate,llm_rag_grounding_score,llm_rag_claim_density,llm_rag_avg_confidence,llm_rag_supported,llm_rag_partially_supported,llm_rag_not_supported,llm_rag_contradicted,llm_hallucination_delta,llm_grounding_delta,llm_claim_density_delta,llm_confidence_delta,nli_norag_hallucination_rate,nli_norag_grounding_score,nli_norag_claim_density,nli_norag_avg_confidence,nli_norag_supported,nli_norag_partially_supported,nli_norag_not_supported,nli_norag_contradicted,nli_rag_hallucination_rate,nli_rag_grounding_score,nli_rag_claim_density,nli_rag_avg_confidence,nli_rag_supported,nli_rag_partially_supported,nli_rag_not_supported,nli_rag_contradicted,nli_hallucination_delta,nli_grounding_delta,nli_claim_density_delta,nli_confidence_delta
0041c85a50e36eaa7703f2de57c38667aec3d3f44a31f226b710765c9abfd82c1f63663fec31f2345b528bdc49f8fea84d0660918b92aa2f8f6f81cc436f8966,Major Entity Identification: A Generalizable Alternative to Coreference Resolution,40,40,0,37,37,0,0.025,0.9,0.0303,0.922,33,6,0,1,0.027,0.892,0.0248,0.924,30,6,1,0,0.002,-0.008,-0.0055,0.002,0.45,0.525,0.0303,0.863,20,2,5,13,0.432,0.5,0.0248,0.806,16,5,6,10,-0.018,-0.025,-0.0055,-0.057
00a5158786a2cc18993c5fc180c25bf407bf132fca0d19ced10912943c4952fba94052e2cea7931ca49911f8ff27b90909ae05bb7c1efc926983f22b31396ad4,Instance-Level Dynamic LoRAs Composition for Cross-Task Generalization,69,69,0,56,56,0,0.174,0.761,0.0604,0.891,48,9,9,3,0.089,0.857,0.0458,0.922,45,6,3,2,-0.085,0.096,-0.0146,0.031,0.29,0.659,0.0604,0.848,42,7,5,15,0.339,0.625,0.0458,0.906,33,4,4,15,0.049,-0.034,-0.0146,0.058
00b257e350f1122ae67a57d2075a66fad9255eb1b78ac21c20e02fae980bf6b1883fbb265bbf03474f18a7618dad193c3a5f42b570572e5a8ef605ce06d2560b,Leveraging pre-trained language models for linguistic analysis: A case of argument structure constructions,33,33,0,31,31,0,0.03,0.879,0.032,0.906,26,6,1,0,0.097,0.806,0.026,0.885,22,6,3,0,0.067,-0.073,-0.006,-0.021,0.364,0.591,0.032,0.87,18,3,5,7,0.548,0.403,0.026,0.886,11,3,7,10,0.184,-0.188,-0.006,0.016
00c34a947a2ef1c3fc9d9a4a08a68f051d21c22e5522bcbcf17cc5b5ebea5f191818c46f3f3429147a93190ddaf99876d6871f8d3ad1e29368eb3db75d92b4bf,M3D: MultiModal MultiDocument Fine-Grained Inconsistency Detection,48,48,0,67,67,3,0,0.948,0.0395,0.931,43,5,0,0,0.075,0.843,0.0489,0.92,51,11,5,0,0.075,-0.105,0.0094,-0.011,0.208,0.76,0.0395,0.896,35,3,5,5,0.284,0.687,0.0489,0.874,44,4,10,9,0.076,-0.073,0.0094,-0.022
00e1bf125d726509747112d3df201fed02902704d8827a72d4adf12bb4b912063800cd41278bd1ac3ade808f3b7c820470667ddba28d3e5f32f352f676c2cddf,Exploring the Best Practices of Query Expansion with Large Language Models,68,68,10,50,50,5,0.103,0.809,0.062,0.903,49,12,3,4,0.08,0.86,0.0475,0.914,40,6,2,2,-0.023,0.051,-0.0145,0.011,0.515,0.441,0.062,0.917,27,6,17,18,0.5,0.48,0.0475,0.91,23,2,14,11,-0.015,0.039,-0.0145,-0.007
00f3a06bd9d48db6c5c85f1d25491ff787f3a42afac6b3e7187d8297866f4a9b80cfe8322c07b797ad90cd30da6b914cf5e6a97afdf93999a3e45664587777ce,Explicit Memory Learning with Expectation Maximization,43,43,1,47,47,18,0.14,0.791,0.0348,0.91,31,6,2,4,0.085,0.883,0.0385,0.924,40,3,0,4,-0.055,0.092,0.0037,0.014,0.605,0.337,0.0348,0.87,12,5,15,11,0.468,0.479,0.0385,0.847,20,5,13,9,-0.137,0.142,0.0037,-0.023
00f67a3180e2165e022059f8bb7e392fdd9301c464f98a1e84446c3d6340d6971d543c7e8672a455ce0ec597a0a1de499df893279cd7ddc138dea74d03b3094e,Seeing Through VisualBERT: A Causal Adventure on Memetic Landscapes,53,53,4,42,42,0,0.094,0.849,0.0437,0.918,42,6,1,4,0.095,0.833,0.033,0.918,32,6,1,3,0.001,-0.016,-0.0107,0,0.057,0.717,0.0437,0.758,26,24,2,1,0.095,0.75,0.033,0.784,25,13,3,1,0.038,0.033,-0.0107,0.026
01767f694576d9c2b236ab1f5b9f1c6caf9075ad9e70e69c178060a1ee8dc2c5db571009241b3a1da81ae8bea7c2d2fcc7472ba8a7d6c32d7511a784c9bcd2d6,Decoding with Limited Teacher Supervision Requires Understanding When to Trust the Teacher,34,34,2,54,54,3,0.088,0.824,0.0267,0.905,25,6,1,2,0.093,0.815,0.0422,0.911,39,10,1,4,0.005,-0.009,0.0155,0.006,0.441,0.485,0.0267,0.903,14,5,6,9,0.481,0.491,0.0422,0.897,25,3,10,16,0.04,0.006,0.0155,-0.006
018d729fd61931ae4f3c5e89a322c0078b210d354af3066c27b354f5df7aa3b8caa1751e1d49d68435ddf2c167eac7b442f6aa82563c9168fa1dad1ffc7e4e65,Unlocking Markets: A Multilingual Benchmark to Cross-Market Question Answering,50,50,0,39,39,2,0.06,0.86,0.0463,0.922,39,8,2,1,0.154,0.731,0.0341,0.909,24,9,4,2,0.094,-0.129,-0.0122,-0.013,0.52,0.43,0.0463,0.566,19,5,22,4,0.59,0.346,0.0341,0.595,11,5,16,7,0.07,-0.084,-0.0122,0.029
01f2673a3f04bfc3121da7a3fbf1c6c8f73251b4b8fd3c818adec692ed48b038acbb04c65c0e2f9627c2ef372acea0d73ee8cd28e5934fe2bbf972145da5de76,NormTab: Improving Symbolic Reasoning in LLMs Through Tabular Data Normalization,40,40,2,34,34,1,0.075,0.863,0.0391,0.927,32,5,1,2,0.059,0.853,0.0269,0.907,26,6,1,1,-0.016,-0.01,-0.0122,-0.02,0.225,0.725,0.0391,0.936,27,4,4,5,0.147,0.809,0.0269,0.925,26,3,1,4,-0.078,0.084,-0.0122,-0.011
